基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
027234,银华中证机器人ETF发起式联接C,指数型-股票,YHZZJQRETFFQSLJC,YINHUAZHONGZHENGJIQIRENETFFAQISHILIANJIEC,
027235,交银智远量化选股股票发起,股票型,JYZYLHXGGPFQ,JIAOYINZHIYUANLIANGHUAXUANGUGUPIAOFAQI,
027241,申万菱信恒生港股通科技主题指数A,指数型-股票,SWLXHSGGTKJZTZSA,SHENWANLINGXINHENGSHENGGANGGUTONGKEJIZHUTIZHISHUA,
027242,申万菱信恒生港股通科技主题指数C,指数型-股票,SWLXHSGGTKJZTZSC,SHENWANLINGXINHENGSHENGGANGGUTONGKEJIZHUTIZHISHUC,
027243,鑫元星航混合发起式A,混合型-偏股,XYXHHHFQSA,XINYUANXINGHANGHUNHEFAQISHIA,
027244,鑫元星航混合发起式C,混合型-偏股,XYXHHHFQSC,XINYUANXINGHANGHUNHEFAQISHIC,
027245,汇添富医疗创新混合发起式A,混合型-偏股,HTFYLCXHHFQSA,HUITIANFUYILIAOCHUANGXINHUNHEFAQISHIA,
027246,汇添富医疗创新混合发起式C,混合型-偏股,HTFYLCXHHFQSC,HUITIANFUYILIAOCHUANGXINHUNHEFAQISHIC,
027247,农银中证500指数C,指数型-股票,NYZZ500ZSC,NONGYINZHONGZHENG500ZHISHUC,
027248,中金上证科创板综合指数增强A,指数型-股票,ZJSZKCBZHZSZQA,ZHONGJINSHANGZHENGKECHUANGBANZONGHEZHISHUZENGQIANGA,
027249,中金上证科创板综合指数增强C,指数型-股票,ZJSZKCBZHZSZQC,ZHONGJINSHANGZHENGKECHUANGBANZONGHEZHISHUZENGQIANGC,
027250,浙商中证全指指数增强A,指数型-股票,ZSZZQZZSZQA,ZHESHANGZHONGZHENGQUANZHIZHISHUZENGQIANGA,
027251,浙商中证全指指数增强C,指数型-股票,ZSZZQZZSZQC,ZHESHANGZHONGZHENGQUANZHIZHISHUZENGQIANGC,
027252,融通新材料混合发起式A,混合型-偏股,RTXCLHHFQSA,RONGTONGXINCAILIAOHUNHEFAQISHIA,
027253,融通新材料混合发起式C,混合型-偏股,RTXCLHHFQSC,RONGTONGXINCAILIAOHUNHEFAQISHIC,
027261,易方达中证红利低波动ETF联接发起式Y,指数型-股票,YFDZZHLDBDETFLJFQSY,YIFANGDAZHONGZHENGHONGLIDIBODONGETFLIANJIEFAQISHIY,
027262,易方达沪深300量化增强Y,指数型-股票,YFDHS300LHZQY,YIFANGDAHUSHEN300LIANGHUAZENGQIANGY,
027267,国泰消费智选混合发起A,混合型-偏股,GTXFZXHHFQA,GUOTAIXIAOFEIZHIXUANHUNHEFAQIA,
027268,国泰消费智选混合发起C,混合型-偏股,GTXFZXHHFQC,GUOTAIXIAOFEIZHIXUANHUNHEFAQIC,
027270,财信价值精选混合发起式A,混合型-偏股,CXJZJXHHFQSA,CAIXINJIAZHIJINGXUANHUNHEFAQISHIA,
027271,财信价值精选混合发起式C,混合型-偏股,CXJZJXHHFQSC,CAIXINJIAZHIJINGXUANHUNHEFAQISHIC,
027272,华夏智胜全景混合,混合型-偏股,HXZSQJHH,HUAXIAZHISHENGQUANJINGHUNHE,
027274,天弘中证电池主题指数发起A,指数型-股票,THZZDCZTZSFQA,TIANHONGZHONGZHENGDIANCHIZHUTIZHISHUFAQIA,
027275,天弘中证电池主题指数发起C,指数型-股票,THZZDCZTZSFQC,TIANHONGZHONGZHENGDIANCHIZHUTIZHISHUFAQIC,
027276,天弘中证港股通医疗主题指数发起A,指数型-股票,THZZGGTYLZTZSFQA,TIANHONGZHONGZHENGGANGGUTONGYILIAOZHUTIZHISHUFAQIA,
027277,天弘中证港股通医疗主题指数发起C,指数型-股票,THZZGGTYLZTZSFQC,TIANHONGZHONGZHENGGANGGUTONGYILIAOZHUTIZHISHUFAQIC,
027287,富国中证畜牧养殖产业指数发起式A,指数型-股票,FGZZXMYZCYZSFQSA,FUGUOZHONGZHENGXUMUYANGZHICHANYEZHISHUFAQISHIA,
027288,富国中证畜牧养殖产业指数发起式C,指数型-股票,FGZZXMYZCYZSFQSC,FUGUOZHONGZHENGXUMUYANGZHICHANYEZHISHUFAQISHIC,
027293,东吴产业趋势混合A,混合型-偏股,DWCYQSHHA,DONGWUCHANYEQUSHIHUNHEA,
027294,东吴产业趋势混合C,混合型-偏股,DWCYQSHHC,DONGWUCHANYEQUSHIHUNHEC,
027299,富国电子信息产业混合发起式A,混合型-偏股,FGDZXXCYHHFQSA,FUGUODIANZIXINXICHANYEHUNHEFAQISHIA,
027300,富国电子信息产业混合发起式C,混合型-偏股,FGDZXXCYHHFQSC,FUGUODIANZIXINXICHANYEHUNHEFAQISHIC,
027301,苏新睿哲量化选股混合A,混合型-偏股,SXRZLHXGHHA,SUXINRUIZHELIANGHUAXUANGUHUNHEA,
027302,苏新睿哲量化选股混合C,混合型-偏股,SXRZLHXGHHC,SUXINRUIZHELIANGHUAXUANGUHUNHEC,
027309,金信中证800指数增强A,指数型-股票,JXZZ800ZSZQA,JINXINZHONGZHENG800ZHISHUZENGQIANGA,
027310,金信中证800指数增强C,指数型-股票,JXZZ800ZSZQC,JINXINZHONGZHENG800ZHISHUZENGQIANGC,
027311,富国消费服务混合发起式A,混合型-偏股,FGXFFWHHFQSA,FUGUOXIAOFEIFUWUHUNHEFAQISHIA,
027312,富国消费服务混合发起式C,混合型-偏股,FGXFFWHHFQSC,FUGUOXIAOFEIFUWUHUNHEFAQISHIC,
027315,兴全磐盈债券A,债券型-混合二级,XQPYZQA,XINGQUANPANYINGZHAIQUANA,
027316,兴全磐盈债券C,债券型-混合二级,XQPYZQC,XINGQUANPANYINGZHAIQUANC,
027321,嘉实同舟稳利债券A,债券型-混合二级,JSTZWLZQA,JIASHITONGZHOUWENLIZHAIQUANA,
027322,嘉实同舟稳利债券C,债券型-混合二级,JSTZWLZQC,JIASHITONGZHOUWENLIZHAIQUANC,
027323,光大保德信北证50成份指数A,指数型-股票,GDBDXBZ50CFZSA,GUANGDABAODEXINBEIZHENG50CHENGFENZHISHUA,
027324,光大保德信北证50成份指数C,指数型-股票,GDBDXBZ50CFZSC,GUANGDABAODEXINBEIZHENG50CHENGFENZHISHUC,
027325,富荣沪深300指数增强Y,指数型-股票,FRHS300ZSZQY,FURONGHUSHEN300ZHISHUZENGQIANGY,
027326,长信汇众量化选股混合A,,CXHZLHXGHHA,CHANGXINHUIZHONGLIANGHUAXUANGUHUNHEA,
027327,长信汇众量化选股混合C,,CXHZLHXGHHC,CHANGXINHUIZHONGLIANGHUAXUANGUHUNHEC,
027328,浦银安盛半导体产业混合A,混合型-偏股,PYASBDTCYHHA,PUYINANSHENGBANDAOTICHANYEHUNHEA,
027329,浦银安盛半导体产业混合C,混合型-偏股,PYASBDTCYHHC,PUYINANSHENGBANDAOTICHANYEHUNHEC,
027330,大成天享3个月持有期混合A,混合型-偏债,DCTX3GYCYQHHA,DACHENGTIANXIANG3GEYUECHIYOUQIHUNHEA,
027331,大成天享3个月持有期混合C,混合型-偏债,DCTX3GYCYQHHC,DACHENGTIANXIANG3GEYUECHIYOUQIHUNHEC,
027332,宏利中证全指指数增强A,指数型-股票,HLZZQZZSZQA,HONGLIZHONGZHENGQUANZHIZHISHUZENGQIANGA,
027333,宏利中证全指指数增强C,指数型-股票,HLZZQZZSZQC,HONGLIZHONGZHENGQUANZHIZHISHUZENGQIANGC,
027336,建信丰汇债券A,债券型-混合二级,JXFHZQA,JIANXINFENGHUIZHAIQUANA,
027337,建信丰汇债券C,债券型-混合二级,JXFHZQC,JIANXINFENGHUIZHAIQUANC,
027338,平安添恒债券A,债券型-混合二级,PATHZQA,PINGANTIANHENGZHAIQUANA,
027339,平安添恒债券C,债券型-混合二级,PATHZQC,PINGANTIANHENGZHAIQUANC,
027340,中欧国证新能源车电池指数A,指数型-股票,ZOGZXNYCDCZSA,ZHONGOUGUOZHENGXINNENGYUANCHEDIANCHIZHISHUA,
027341,中欧国证新能源车电池指数C,指数型-股票,ZOGZXNYCDCZSC,ZHONGOUGUOZHENGXINNENGYUANCHEDIANCHIZHISHUC,
027344,国泰瑞锦债券发起A,债券型-混合二级,GTRJZQFQA,GUOTAIRUIJINZHAIQUANFAQIA,
027345,国泰瑞锦债券发起C,债券型-混合二级,GTRJZQFQC,GUOTAIRUIJINZHAIQUANFAQIC,
027359,天弘通享债券发起D,债券型-长债,THTXZQFQD,TIANHONGTONGXIANGZHAIQUANFAQID,
027364,安信新材料睿选股票发起A,股票型,AXXCLRXGPFQA,ANXINXINCAILIAORUIXUANGUPIAOFAQIA,
027365,安信新材料睿选股票发起C,股票型,AXXCLRXGPFQC,ANXINXINCAILIAORUIXUANGUPIAOFAQIC,
027366,天弘增利短债发起D,债券型-中短债,THZLDZFQD,TIANHONGZENGLIDUANZHAIFAQID,
027367,富国国证石油天然气ETF发起式联接A,指数型-股票,FGGZSYTRQETFFQSLJA,FUGUOGUOZHENGSHIYOUTIANRANQIETFFAQISHILIANJIEA,
027368,富国国证石油天然气ETF发起式联接C,指数型-股票,FGGZSYTRQETFFQSLJC,FUGUOGUOZHENGSHIYOUTIANRANQIETFFAQISHILIANJIEC,
027369,万家港股通价值混合发起式A,混合型-偏股,WJGGTJZHHFQSA,WANJIAGANGGUTONGJIAZHIHUNHEFAQISHIA,
027370,万家港股通价值混合发起式C,混合型-偏股,WJGGTJZHHFQSC,WANJIAGANGGUTONGJIAZHIHUNHEFAQISHIC,
027373,兴业恒生生物科技指数发起式A,指数型-股票,XYHSSWKJZSFQSA,XINGYEHENGSHENGSHENGWUKEJIZHISHUFAQISHIA,
027374,兴业恒生生物科技指数发起式C,指数型-股票,XYHSSWKJZSFQSC,XINGYEHENGSHENGSHENGWUKEJIZHISHUFAQISHIC,
027377,鹏扬周期优选混合发起式A,混合型-偏股,PYZQYXHHFQSA,PENGYANGZHOUQIYOUXUANHUNHEFAQISHIA,
027378,鹏扬周期优选混合发起式C,混合型-偏股,PYZQYXHHFQSC,PENGYANGZHOUQIYOUXUANHUNHEFAQISHIC,
027379,中欧港股医药混合发起(QDII)A,QDII-混合偏股,ZOGGYYHHFQQDIIA,ZHONGOUGANGGUYIYAOHUNHEFAQIQDIIA,Y
027380,中欧港股医药混合发起(QDII)C,QDII-混合偏股,ZOGGYYHHFQQDIIC,ZHONGOUGANGGUYIYAOHUNHEFAQIQDIIC,Y
027381,浦银安盛产业机遇混合A,混合型-偏股,PYASCYJYHHA,PUYINANSHENGCHANYEJIYUHUNHEA,
027382,浦银安盛产业机遇混合C,混合型-偏股,PYASCYJYHHC,PUYINANSHENGCHANYEJIYUHUNHEC,
027383,信澳中证港股通综合指数增强A,,XAZZGGTZHZSZQA,XINAOZHONGZHENGGANGGUTONGZONGHEZHISHUZENGQIANGA,
027384,信澳中证港股通综合指数增强C,,XAZZGGTZHZSZQC,XINAOZHONGZHENGGANGGUTONGZONGHEZHISHUZENGQIANGC,
027385,汇添富价值智选混合发起式A,混合型-偏股,HTFJZZXHHFQSA,HUITIANFUJIAZHIZHIXUANHUNHEFAQISHIA,
027386,汇添富价值智选混合发起式C,混合型-偏股,HTFJZZXHHFQSC,HUITIANFUJIAZHIZHIXUANHUNHEFAQISHIC,
027389,前海开源中证金融科技主题指数A,指数型-股票,QHKYZZJRKJZTZSA,QIANHAIKAIYUANZHONGZHENGJINRONGKEJIZHUTIZHISHUA,
027390,前海开源中证金融科技主题指数C,指数型-股票,QHKYZZJRKJZTZSC,QIANHAIKAIYUANZHONGZHENGJINRONGKEJIZHUTIZHISHUC,
027393,鹏华创业板综合指数增强A,指数型-股票,PHCYBZHZSZQA,PENGHUACHUANGYEBANZONGHEZHISHUZENGQIANGA,
027394,鹏华创业板综合指数增强C,指数型-股票,PHCYBZHZSZQC,PENGHUACHUANGYEBANZONGHEZHISHUZENGQIANGC,
027401,富国恒生生物科技ETF发起式联接A,指数型-股票,FGHSSWKJETFFQSLJA,FUGUOHENGSHENGSHENGWUKEJIETFFAQISHILIANJIEA,
027402,富国恒生生物科技ETF发起式联接C,指数型-股票,FGHSSWKJETFFQSLJC,FUGUOHENGSHENGSHENGWUKEJIETFFAQISHILIANJIEC,
027403,长盛生态环境混合C,混合型-灵活,CSSTHJHHC,CHANGSHENGSHENGTAIHUANJINGHUNHEC,
027404,工银新能源先锋混合发起式A,混合型-偏股,GYXNYXFHHFQSA,GONGYINXINNENGYUANXIANFENGHUNHEFAQISHIA,
027405,工银新能源先锋混合发起式C,混合型-偏股,GYXNYXFHHFQSC,GONGYINXINNENGYUANXIANFENGHUNHEFAQISHIC,
027406,国泰海通中证港股通科技指数发起A,指数型-股票,GTHTZZGGTKJZSFQA,GUOTAIHAITONGZHONGZHENGGANGGUTONGKEJIZHISHUFAQIA,
027407,国泰海通中证港股通科技指数发起C,指数型-股票,GTHTZZGGTKJZSFQC,GUOTAIHAITONGZHONGZHENGGANGGUTONGKEJIZHISHUFAQIC,
027410,国泰恒生生物科技ETF发起联接A,指数型-股票,GTHSSWKJETFFQLJA,GUOTAIHENGSHENGSHENGWUKEJIETFFAQILIANJIEA,
027411,国泰恒生生物科技ETF发起联接C,指数型-股票,GTHSSWKJETFFQLJC,GUOTAIHENGSHENGSHENGWUKEJIETFFAQILIANJIEC,
027412,景顺长城景颐保利债券A,债券型-混合二级,JSCCJYBLZQA,JINGSHUNCHANGCHENGJINGYIBAOLIZHAIQUANA,
027413,景顺长城景颐保利债券C,债券型-混合二级,JSCCJYBLZQC,JINGSHUNCHANGCHENGJINGYIBAOLIZHAIQUANC,
027414,华泰保兴北证50成份指数增强发起A,指数型-股票,HTBXBZ50CFZSZQFQA,HUATAIBAOXINGBEIZHENG50CHENGFENZHISHUZENGQIANGFAQIA,
027415,华泰保兴北证50成份指数增强发起C,指数型-股票,HTBXBZ50CFZSZQFQC,HUATAIBAOXINGBEIZHENG50CHENGFENZHISHUZENGQIANGFAQIC,
027416,中欧元利债券A,债券型-混合二级,ZOYLZQA,ZHONGOUYUANLIZHAIQUANA,
027417,中欧元利债券C,债券型-混合二级,ZOYLZQC,ZHONGOUYUANLIZHAIQUANC,
027418,博时储能电池指数A,指数型-股票,BSCNDCZSA,BOSHICHUNENGDIANCHIZHISHUA,
027419,博时储能电池指数C,指数型-股票,BSCNDCZSC,BOSHICHUNENGDIANCHIZHISHUC,
027420,东方红恒悦精选混合发起A,混合型-偏债,DFHHYJXHHFQA,DONGFANGHONGHENGYUEJINGXUANHUNHEFAQIA,
027421,东方红恒悦精选混合发起C,混合型-偏债,DFHHYJXHHFQC,DONGFANGHONGHENGYUEJINGXUANHUNHEFAQIC,
027432,汇添富添添乐双益债券A,债券型-混合二级,HTFTTLSYZQA,HUITIANFUTIANTIANLESHUANGYIZHAIQUANA,
027433,汇添富添添乐双益债券C,债券型-混合二级,HTFTTLSYZQC,HUITIANFUTIANTIANLESHUANGYIZHAIQUANC,
027436,富国消费睿选混合发起式A,混合型-偏股,FGXFRXHHFQSA,FUGUOXIAOFEIRUIXUANHUNHEFAQISHIA,
027437,富国消费睿选混合发起式C,混合型-偏股,FGXFRXHHFQSC,FUGUOXIAOFEIRUIXUANHUNHEFAQISHIC,
027440,中银消费服务混合发起A,混合型-偏股,ZYXFFWHHFQA,ZHONGYINXIAOFEIFUWUHUNHEFAQIA,
027441,中银消费服务混合发起C,混合型-偏股,ZYXFFWHHFQC,ZHONGYINXIAOFEIFUWUHUNHEFAQIC,
027444,中信保诚新能源混合发起式A,混合型-偏股,ZXBCXNYHHFQSA,ZHONGXINBAOCHENGXINNENGYUANHUNHEFAQISHIA,
027445,中信保诚新能源混合发起式C,混合型-偏股,ZXBCXNYHHFQSC,ZHONGXINBAOCHENGXINNENGYUANHUNHEFAQISHIC,
027446,兴银新锐量化选股混合A,混合型-偏股,XYXRLHXGHHA,XINGYINXINRUILIANGHUAXUANGUHUNHEA,
027447,兴银新锐量化选股混合C,混合型-偏股,XYXRLHXGHHC,XINGYINXINRUILIANGHUAXUANGUHUNHEC,
027452,鑫元国证石油天然气指数发起式A,指数型-股票,XYGZSYTRQZSFQSA,XINYUANGUOZHENGSHIYOUTIANRANQIZHISHUFAQISHIA,
027453,鑫元国证石油天然气指数发起式C,指数型-股票,XYGZSYTRQZSFQSC,XINYUANGUOZHENGSHIYOUTIANRANQIZHISHUFAQISHIC,
027456,永赢中债-优选投资级信用债(1-3年)指数D,指数型-固收,YYZZYXTZJXYZ13NZSD,YONGYINGZHONGZHAIYOUXUANTOUZIJIXINYONGZHAI13NIANZHISHUD,
027459,湘财久恒30天滚动持有债券A,债券型-长债,XCJH30TGDCYZQA,XIANGCAIJIUHENG30TIANGUNDONGCHIYOUZHAIQUANA,
027460,湘财久恒30天滚动持有债券C,债券型-长债,XCJH30TGDCYZQC,XIANGCAIJIUHENG30TIANGUNDONGCHIYOUZHAIQUANC,
027461,平安兴福多元稳健3个月持有混合(FOF)A,FOF-均衡型,PAXFDYWJ3GYCYHHFOFA,PINGANXINGFUDUOYUANWENJIAN3GEYUECHIYOUHUNHEFOFA,
027462,平安兴福多元稳健3个月持有混合(FOF)C,FOF-均衡型,PAXFDYWJ3GYCYHHFOFC,PINGANXINGFUDUOYUANWENJIAN3GEYUECHIYOUHUNHEFOFC,
027467,华宝绿色领先股票C,股票型,HBLSLXGPC,HUABAOLVSELINGXIANGUPIAOC,
027468,招商瑞启回报债券A,债券型-混合二级,ZSRQHBZQA,ZHAOSHANGRUIQIHUIBAOZHAIQUANA,
027469,招商瑞启回报债券C,债券型-混合二级,ZSRQHBZQC,ZHAOSHANGRUIQIHUIBAOZHAIQUANC,
027472,招商智信优选6个月持有期混合(FOF)A,FOF-均衡型,ZSZXYX6GYCYQHHFOFA,ZHAOSHANGZHIXINYOUXUAN6GEYUECHIYOUQIHUNHEFOFA,
027473,招商智信优选6个月持有期混合(FOF)C,FOF-均衡型,ZSZXYX6GYCYQHHFOFC,ZHAOSHANGZHIXINYOUXUAN6GEYUECHIYOUQIHUNHEFOFC,
027480,泓德智选远航混合A,混合型-偏股,HDZXYHHHA,HONGDEZHIXUANYUANHANGHUNHEA,
027481,泓德智选远航混合C,混合型-偏股,HDZXYHHHC,HONGDEZHIXUANYUANHANGHUNHEC,
027484,中欧全景智选混合A,混合型-偏股,ZOQJZXHHA,ZHONGOUQUANJINGZHIXUANHUNHEA,
027485,中欧全景智选混合C,混合型-偏股,ZOQJZXHHC,ZHONGOUQUANJINGZHIXUANHUNHEC,
027486,长城中证电池指数发起A,指数型-股票,CCZZDCZSFQA,CHANGCHENGZHONGZHENGDIANCHIZHISHUFAQIA,
027487,长城中证电池指数发起C,指数型-股票,CCZZDCZSFQC,CHANGCHENGZHONGZHENGDIANCHIZHISHUFAQIC,
027488,易方达如意安恒3个月持有混合(FOF)A,,YFDRYAH3GYCYHHFOFA,YIFANGDARUYIANHENG3GEYUECHIYOUHUNHEFOFA,
027489,易方达如意安恒3个月持有混合(FOF)C,,YFDRYAH3GYCYHHFOFC,YIFANGDARUYIANHENG3GEYUECHIYOUHUNHEFOFC,
027492,工银消费悦享混合A,混合型-偏股,GYXFYXHHA,GONGYINXIAOFEIYUEXIANGHUNHEA,
027493,工银消费悦享混合C,混合型-偏股,GYXFYXHHC,GONGYINXIAOFEIYUEXIANGHUNHEC,
027494,易方达中证电池主题ETF联接发起式A,指数型-股票,YFDZZDCZTETFLJFQSA,YIFANGDAZHONGZHENGDIANCHIZHUTIETFLIANJIEFAQISHIA,
027495,易方达中证电池主题ETF联接发起式C,指数型-股票,YFDZZDCZTETFLJFQSC,YIFANGDAZHONGZHENGDIANCHIZHUTIETFLIANJIEFAQISHIC,
027500,兴全盈泰多元配置三个月持有混合FOFA,FOF-均衡型,XQYTDYPZSGYCYHHFOFA,XINGQUANYINGTAIDUOYUANPEIZHISANGEYUECHIYOUHUNHEFOFA,
027501,兴全盈泰多元配置三个月持有混合FOFC,FOF-均衡型,XQYTDYPZSGYCYHHFOFC,XINGQUANYINGTAIDUOYUANPEIZHISANGEYUECHIYOUHUNHEFOFC,
027506,银华华瑞多元配置三个月持有期混合(FOF)A,,YHHRDYPZSGYCYQHHFOFA,YINHUAHUARUIDUOYUANPEIZHISANGEYUECHIYOUQIHUNHEFOFA,
027507,银华华瑞多元配置三个月持有期混合(FOF)C,,YHHRDYPZSGYCYQHHFOFC,YINHUAHUARUIDUOYUANPEIZHISANGEYUECHIYOUQIHUNHEFOFC,
027508,富国中证全指证券公司ETF发起式联接A,指数型-股票,FGZZQZZQGSETFFQSLJA,FUGUOZHONGZHENGQUANZHIZHENGQUANGONGSIETFFAQISHILIANJIEA,
027509,富国中证全指证券公司ETF发起式联接C,指数型-股票,FGZZQZZQGSETFFQSLJC,FUGUOZHONGZHENGQUANZHIZHENGQUANGONGSIETFFAQISHILIANJIEC,
027518,中银先进制造混合发起A,混合型-偏股,ZYXJZZHHFQA,ZHONGYINXIANJINZHIZAOHUNHEFAQIA,
027519,中银先进制造混合发起C,混合型-偏股,ZYXJZZHHFQC,ZHONGYINXIANJINZHIZAOHUNHEFAQIC,
027520,广发上证科创板芯片设计主题ETF发起式联接A,指数型-股票,GFSZKCBXPSJZTETFFQSLJA,GUANGFASHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQISHILIANJIEA,
027521,广发上证科创板芯片设计主题ETF发起式联接C,指数型-股票,GFSZKCBXPSJZTETFFQSLJC,GUANGFASHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQISHILIANJIEC,
027532,兴业中证细分有色金属产业主题指数发起式A,指数型-股票,XYZZXFYSJSCYZTZSFQSA,XINGYEZHONGZHENGXIFENYOUSEJINSHUCHANYEZHUTIZHISHUFAQISHIA,
027533,兴业中证细分有色金属产业主题指数发起式C,指数型-股票,XYZZXFYSJSCYZTZSFQSC,XINGYEZHONGZHENGXIFENYOUSEJINSHUCHANYEZHUTIZHISHUFAQISHIC,
027538,东方红欣益稳健3个月持有混合发起(FOF)A,,DFHXYWJ3GYCYHHFQFOFA,DONGFANGHONGXINYIWENJIAN3GEYUECHIYOUHUNHEFAQIFOFA,
027539,东方红欣益稳健3个月持有混合发起(FOF)C,,DFHXYWJ3GYCYHHFQFOFC,DONGFANGHONGXINYIWENJIAN3GEYUECHIYOUHUNHEFAQIFOFC,
027562,兴合动力领航混合发起式A,混合型-偏股,XHDLLHHHFQSA,XINGHEDONGLILINGHANGHUNHEFAQISHIA,
027563,兴合动力领航混合发起式C,混合型-偏股,XHDLLHHHFQSC,XINGHEDONGLILINGHANGHUNHEFAQISHIC,
027570,银华嘉盈混合A,混合型-偏股,YHJYHHA,YINHUAJIAYINGHUNHEA,
027571,银华嘉盈混合C,混合型-偏股,YHJYHHC,YINHUAJIAYINGHUNHEC,
027572,天弘北证50成份指数增强发起A,,THBZ50CFZSZQFQA,TIANHONGBEIZHENG50CHENGFENZHISHUZENGQIANGFAQIA,
027573,天弘北证50成份指数增强发起C,,THBZ50CFZSZQFQC,TIANHONGBEIZHENG50CHENGFENZHISHUZENGQIANGFAQIC,
027574,天弘上证科创板芯片设计主题ETF发起联接A,指数型-股票,THSZKCBXPSJZTETFFQLJA,TIANHONGSHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQILIANJIEA,
027575,天弘上证科创板芯片设计主题ETF发起联接C,指数型-股票,THSZKCBXPSJZTETFFQLJC,TIANHONGSHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQILIANJIEC,
027588,华夏中证工程机械主题ETF发起式联接A,指数型-股票,HXZZGCJXZTETFFQSLJA,HUAXIAZHONGZHENGGONGCHENGJIXIEZHUTIETFFAQISHILIANJIEA,
027589,华夏中证工程机械主题ETF发起式联接C,指数型-股票,HXZZGCJXZTETFFQSLJC,HUAXIAZHONGZHENGGONGCHENGJIXIEZHUTIETFFAQISHILIANJIEC,
027590,安联中国港股通精选混合A,混合型-偏股,ALZGGGTJXHHA,ANLIANZHONGGUOGANGGUTONGJINGXUANHUNHEA,
027591,安联中国港股通精选混合C,混合型-偏股,ALZGGGTJXHHC,ANLIANZHONGGUOGANGGUTONGJINGXUANHUNHEC,
027598,鑫元中证工业有色金属主题指数发起式A,指数型-股票,XYZZGYYSJSZTZSFQSA,XINYUANZHONGZHENGGONGYEYOUSEJINSHUZHUTIZHISHUFAQISHIA,
027599,鑫元中证工业有色金属主题指数发起式C,指数型-股票,XYZZGYYSJSZTZSFQSC,XINYUANZHONGZHENGGONGYEYOUSEJINSHUZHUTIZHISHUFAQISHIC,
027602,华泰柏瑞恒生生物科技ETF发起式联接A,指数型-股票,HTBRHSSWKJETFFQSLJA,HUATAIBAIRUIHENGSHENGSHENGWUKEJIETFFAQISHILIANJIEA,
027603,华泰柏瑞恒生生物科技ETF发起式联接C,指数型-股票,HTBRHSSWKJETFFQSLJC,HUATAIBAIRUIHENGSHENGSHENGWUKEJIETFFAQISHILIANJIEC,
027604,易方达中证工程机械主题ETF联接A,指数型-股票,YFDZZGCJXZTETFLJA,YIFANGDAZHONGZHENGGONGCHENGJIXIEZHUTIETFLIANJIEA,
027605,易方达中证工程机械主题ETF联接C,指数型-股票,YFDZZGCJXZTETFLJC,YIFANGDAZHONGZHENGGONGCHENGJIXIEZHUTIETFLIANJIEC,
027608,鹏华上证科创板芯片设计主题ETF发起式联接A,指数型-股票,PHSZKCBXPSJZTETFFQSLJA,PENGHUASHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQISHILIANJIEA,
027609,鹏华上证科创板芯片设计主题ETF发起式联接C,指数型-股票,PHSZKCBXPSJZTETFFQSLJC,PENGHUASHANGZHENGKECHUANGBANXINPIANSHEJIZHUTIETFFAQISHILIANJIEC,
027614,易方达丰瑞债券A,债券型-混合二级,YFDFRZQA,YIFANGDAFENGRUIZHAIQUANA,
027615,易方达丰瑞债券C,债券型-混合二级,YFDFRZQC,YIFANGDAFENGRUIZHAIQUANC,
027636,国泰海通善衡稳健配置三个月持有混合(FOF)A,FOF-均衡型,GTHTSHWJPZSGYCYHHFOFA,GUOTAIHAITONGSHANHENGWENJIANPEIZHISANGEYUECHIYOUHUNHEFOFA,
027637,国泰海通善衡稳健配置三个月持有混合(FOF)C,FOF-均衡型,GTHTSHWJPZSGYCYHHFOFC,GUOTAIHAITONGSHANHENGWENJIANPEIZHISANGEYUECHIYOUHUNHEFOFC,
027646,中信建投双和债券A,,ZXJTSHZQA,ZHONGXINJIANTOUSHUANGHEZHAIQUANA,
027647,中信建投双和债券C,,ZXJTSHZQC,ZHONGXINJIANTOUSHUANGHEZHAIQUANC,
027656,长信北证50成份指数增强A,,CXBZ50CFZSZQA,CHANGXINBEIZHENG50CHENGFENZHISHUZENGQIANGA,
027657,长信北证50成份指数增强C,,CXBZ50CFZSZQC,CHANGXINBEIZHENG50CHENGFENZHISHUZENGQIANGC,
027658,中银稳进鼎利债券发起A,债券型-混合二级,ZYWJDLZQFQA,ZHONGYINWENJINDINGLIZHAIQUANFAQIA,
027659,中银稳进鼎利债券发起C,债券型-混合二级,ZYWJDLZQFQC,ZHONGYINWENJINDINGLIZHAIQUANFAQIC,
027664,湘财新材料混合A,,XCXCLHHA,XIANGCAIXINCAILIAOHUNHEA,
027665,湘财新材料混合C,,XCXCLHHC,XIANGCAIXINCAILIAOHUNHEC,
027672,交银信用添利债券(LOF)C,债券型-混合一级,JYXYTLZQLOFC,JIAOYINXINYONGTIANLIZHAIQUANLOFC,
027680,平安添利债券E,债券型-混合一级,PATLZQE,PINGANTIANLIZHAIQUANE,
027684,华安远见回报混合A,混合型-偏股,HAYJHBHHA,HUAANYUANJIANHUIBAOHUNHEA,
027685,华安远见回报混合C,混合型-偏股,HAYJHBHHC,HUAANYUANJIANHUIBAOHUNHEC,
